1aːbmt,/Abend
fʏ1ː0ɐ,f/ü/r
ɡ1eː0en,g/eh/en
ɡ0ebʁ1axt,g/ebr/acht
ɡ0etʁ1ɛŋk,G/etr/änk
ɡ0ev1eːzn,g/ew/esen
ɡ0ez1amt,g/es/amt
ɡ2əz1ɛts,G/es/etz
ɡl1ɔk0e,Gl/ock/e
ɡʁø1ːs0e,Gr/öß/e
h1at0e,h/att/e
h1ɛlft0e,H/älft/e
h1iː0ɐ,h/ie/r
2id1eː,/Id/ee
k1aʁt0e,K/art/e
kœ1n0en,k/önn/en
k1ɔm0en,k/omm/en
l1eːʁ0en,l/ehr/en
l1ɛʁn0en,l/ern/en
lø1ːz0ʊŋ,L/ös/ung
m1ɛːtç0en,M/ädch/en
m1ɛn0ɐ,M/änn/er
m1ɛs0e,M/ess/e
m1iːn0e,M/in/e
m1ɪt2aːk,M/itt/ag
m1oːn0at,M/on/at
m1ʊst0ɐ,M/ust/er
m1iː0ɐ,m/i/r
n1aːm0e,N/am/e
n1eːm0en,n/ehm/en
n1iːdʁ0ɪç,n/iedr/ig
n1uː0ɐ,n/u/r
0ɔpʝ1ɛkt,/Obj/ekt
p1oːz0e,P/os/e
p2aʁt1aɛ,P/art/ei
pf1eː0ɐt,Pf/e/rd
pfl1eːɡ0e,Pfl/eg/e
plœ1tsl0ɪç,pl/ötzl/ich
pʁ1ɛs0e,Pr/ess/e
pʁ0obl1eːm,Pr/obl/em
pʁ2ots1ɛs,Pr/oz/ess
ʁ1eːd0e,R/ed/e
ʁ1ɪçt0ɪç,r/icht/ig
ʁ1ʊnd0e,R/und/e
ʁ2ek1ɔʁt,R/ek/ord
ʃ1aɛn0en,sch/ein/en
ʃ1aŋs0e,Ch/anc/e
ʃ1ɑ̃ːs0e,Ch/anc/e
ʃ1uːl0e,Sch/ul/e
ʃ1ʊlt0ɐ,Sch/ult/er
ʃʏ1ːl0ɐ,Sch/ül/er
ʃn1uː0ɐ,Schn/u/r
ʃp1aːʁ0en,sp/ar/en
ʃp1aɛç0e,Sp/eich/e
ʃp1alt0e,Sp/alt/e
ts1ɛl0e,Z/ell/e
ts1ɛntʁ2ʊm,Z/entr/um
ts1iːml0ɪç,z/ieml/ich
ts1uːʃt0ant,Z/ust/and
